City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sitka,57.0531,-135.33,6.94,81,100,5.14,US,1714935145
1,invercargill,-46.4,168.35,7.79,91,100,5.81,NZ,1714934859
2,longyearbyen,78.2186,15.6401,-3.09,68,75,2.57,SJ,1714935524
3,college,64.8569,-147.8028,10.02,51,40,3.6,US,1714935147
4,wailua homesteads,22.0669,-159.378,23.94,77,75,7.2,US,1714935148
5,stanley,54.868,-1.6985,12.73,86,20,3.09,GB,1714935148
6,grytviken,-54.2811,-36.5092,3.23,95,100,3.44,GS,1714935149
7,ushuaia,-54.8,-68.3,2.81,75,100,9.77,AR,1714935149
8,yellowknife,62.456,-114.3525,9.08,67,75,3.6,CA,1714934933
9,adamstown,-25.066,-130.1015,21.45,64,65,8.06,PN,1714935150
10,aasiaat,68.7098,-52.8699,-6.81,74,78,1.35,GL,1714935151
11,utrik,11.2278,169.8474,27.24,82,100,7.37,MH,1714935151
12,iqaluit,63.7506,-68.5145,-3.5,79,100,5.66,CA,1714934979
13,gurupa,-1.405,-51.64,29.84,73,100,1.77,BR,1714935152
14,bilibino,68.0546,166.4372,-7.73,75,10,1.02,RU,1714935153
15,kijang,35.2442,129.2139,16.85,95,100,10.66,KR,1714935153
16,tiksi,71.6872,128.8694,-8.74,99,97,1.54,RU,1714935154
17,papatowai,-46.5619,169.4708,7.05,93,100,7.88,NZ,1714935154
18,waitangi,-43.9535,-176.5597,10.46,94,72,0.89,NZ,1714935155
19,mochudi,-24.4167,26.15,20.0,30,0,0.37,BW,1714935155
20,kingston,17.997,-76.7936,32.53,58,40,8.75,JM,1714934871
21,edinburgh of the seven seas,-37.0676,-12.3116,13.84,69,18,13.39,SH,1714935156
22,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,78,75,3.58,RU,1714935157
23,lebu,-37.6167,-73.65,11.98,59,65,4.71,CL,1714935157
24,udachny,66.4167,112.4,-4.2,88,88,0.84,RU,1714935158
25,gamba,-2.65,10.0,26.34,89,32,2.99,GA,1714935158
26,luderitz,-26.6481,15.1594,16.04,74,0,4.49,NA,1714935159
27,tolanaro,-25.0319,46.9987,23.04,73,20,9.26,MG,1714935160
28,georgetown,5.4112,100.3354,27.97,74,20,1.54,MY,1714934900
29,thompson,55.7435,-97.8558,7.09,65,75,3.09,CA,1714935161
30,santiago ixcuintla,21.8167,-105.2167,36.78,21,100,3.79,MX,1714935162
31,khash,28.2211,61.2158,23.7,26,5,2.48,IR,1714935163
32,suntar,62.1444,117.6319,-5.15,99,64,0.83,RU,1714935163
33,rudbar,30.15,62.6,31.04,20,48,2.81,AF,1714935164
34,bafoulabe,13.8065,-10.8321,41.48,7,0,1.02,ML,1714935165
35,whitehorse,60.7161,-135.0538,10.59,48,75,6.17,CA,1714935166
36,lompoc,34.6391,-120.4579,15.0,58,40,7.72,US,1714935166
37,st. john's,47.5649,-52.7093,3.65,79,75,4.12,CA,1714935167
38,talnakh,69.4865,88.3972,-13.22,76,21,1.92,RU,1714935167
39,olonkinbyen,70.9221,-8.7187,0.91,90,100,9.28,SJ,1714935168
40,ramos arizpe,25.55,-100.9667,31.62,15,0,0.0,MX,1714935023
41,ponta delgada,37.7333,-25.6667,19.4,82,20,3.09,PT,1714935169
42,hami,42.8,93.45,25.88,6,100,8.5,CN,1714935169
43,acarau,-2.8856,-40.12,28.76,82,100,4.59,BR,1714935170
44,east london,-33.0153,27.9116,19.52,88,0,3.09,ZA,1714935170
45,mogoytuy,51.2833,114.9167,10.51,43,100,2.6,RU,1714935171
46,klyuchi,52.2667,79.1667,8.76,77,100,4.51,RU,1714935171
47,hamilton,39.1834,-84.5333,25.23,63,75,3.6,US,1714935273
48,albany,42.6001,-73.9662,9.55,81,100,1.34,US,1714935328
49,mount gambier,-37.8333,140.7667,10.41,91,7,3.27,AU,1714935173
50,manaure,11.7751,-72.4445,30.69,68,100,5.71,CO,1714935174
51,carthage,36.8611,10.3316,20.74,43,20,4.63,TN,1714935141
52,bengkulu,-3.8004,102.2655,24.44,93,6,1.9,ID,1714935175
53,puerto ayora,-0.7393,-90.3518,24.19,94,100,3.13,EC,1714935176
54,west island,-12.1568,96.8225,26.99,78,40,6.69,CC,1714935177
55,lincoln,40.8,-96.667,16.87,50,0,5.66,US,1714934992
56,machico,32.7,-16.7667,20.64,87,40,1.54,PT,1714935178
57,port-aux-francais,-49.35,70.2167,3.85,87,96,0.75,TF,1714935179
58,bredasdorp,-34.5322,20.0403,14.04,75,92,1.35,ZA,1714935179
59,harper,4.375,-7.7169,28.38,78,92,4.04,LR,1714935180
60,saipan,15.1355,145.701,27.39,78,20,5.66,MP,1714935180
61,gadzhiyevo,69.2551,33.3362,-0.65,71,100,8.42,RU,1714935181
62,lakatoro,-16.0999,167.4164,25.53,85,100,5.3,VU,1714935181
63,hawaiian paradise park,19.5933,-154.9731,20.9,95,100,2.57,US,1714935182
64,malango,-2.9627,119.9001,19.49,98,100,0.79,ID,1714935183
65,sussex,41.1834,-74.6663,9.97,89,100,0.0,US,1714935041
66,blackmans bay,-43.0167,147.3167,10.07,75,100,2.55,AU,1714935184
67,ventersburg,-28.0856,27.1381,15.55,32,0,1.69,ZA,1714935185
68,ancud,-41.8697,-73.8203,8.83,68,87,7.88,CL,1714935111
69,gisborne,-38.6533,178.0042,9.39,90,11,4.49,NZ,1714935186
70,guerrero negro,27.9769,-114.0611,19.04,61,15,9.37,MX,1714935186
71,al bawiti,28.3492,28.8659,21.19,28,0,3.68,EG,1714935187
72,tunceli,39.1083,39.5471,8.97,87,100,2.57,TR,1714935188
73,n'dalatando,-9.2978,14.9116,21.96,61,72,1.66,AO,1714935188
74,tongliao,43.6125,122.2653,14.77,41,100,7.23,CN,1714935189
75,kilindoni,-7.9139,39.6668,24.63,90,100,5.35,TZ,1714935190
76,iskateley,67.6803,53.1512,-7.21,88,74,1.79,RU,1714935191
77,neka,36.6508,53.299,21.73,56,0,4.12,IR,1714935191
78,misliyah,17.4599,42.5572,31.08,50,0,3.13,SA,1714935192
79,bethel,41.3712,-73.414,9.37,87,100,2.06,US,1714935193
80,polyarnyy,69.1989,33.4478,-0.71,71,100,8.34,RU,1714935194
81,dul'durga,50.6761,113.5931,9.39,67,100,1.16,RU,1714935195
82,puerto natales,-51.7236,-72.4875,3.25,56,40,7.72,CL,1714935195
83,puerto deseado,-47.7503,-65.8938,6.74,44,11,3.31,AR,1714934900
84,betio village,1.358,172.9211,28.02,72,97,5.25,KI,1714935196
85,floro,61.5996,5.0328,8.01,93,75,3.09,NO,1714935197
86,chhor,25.5167,69.7667,30.07,51,0,6.74,PK,1714935197
87,karagay,58.2667,54.9368,0.5,65,100,3.27,RU,1714935198
88,ebon,4.582,168.6964,27.72,83,100,7.22,MH,1714935198
89,port mathurin,-19.6833,63.4167,25.91,67,96,8.56,MU,1714935199
90,isafjordur,66.0755,-23.124,5.02,75,100,4.12,IS,1714935200
91,ust'-charyshskaya pristan',52.3934,83.6635,9.99,90,100,5.58,RU,1714935200
92,port alfred,-33.5906,26.891,19.48,77,13,4.99,ZA,1714935201
93,ibresi,55.2961,47.0394,5.89,95,100,6.22,RU,1714935201
94,ribeira grande,38.5167,-28.7,19.22,82,20,4.12,PT,1714935202
95,enewetak,11.3474,162.3373,27.65,71,97,7.62,MH,1714935202
96,bubaque,11.2833,-15.8333,26.17,75,93,8.1,GW,1714935203
97,alice springs,-23.7,133.8833,5.75,81,2,2.06,AU,1714935204
98,lewistown,40.5992,-77.5714,13.7,88,100,0.0,US,1714934946
99,salinas,36.6777,-121.6555,13.42,69,75,5.14,US,1714935102
100,hammerfest,70.6634,23.6821,-0.75,80,75,7.2,NO,1714935206
101,starobesheve,47.7504,38.0305,8.01,52,6,4.55,UA,1714935206
102,cidreira,-30.1811,-50.2056,23.11,87,0,4.15,BR,1714935207
103,ilulissat,69.2167,-51.1,-5.99,86,100,3.09,GL,1714935208
104,jalai nur,49.45,117.7,8.26,41,91,2.28,CN,1714935208
105,kapuskasing,49.4169,-82.4331,11.0,71,75,4.63,CA,1714935209
106,gwanda,-20.9333,29.0,16.6,44,0,2.18,ZW,1714935209
107,altai,46.3722,96.2583,9.77,22,98,2.17,MN,1714935210
108,novhorod-sivers'kyy,52.0058,33.2615,11.99,75,74,2.46,UA,1714935211
109,zaragoza,41.6561,-0.8773,20.75,52,40,2.57,ES,1714935211
110,luau,-10.7073,22.2247,19.96,48,5,1.32,AO,1714935212
111,pandan,14.0453,124.1694,26.71,86,40,4.85,PH,1714935212
112,shijiang,27.0819,110.7933,18.29,95,100,0.96,CN,1714935213
113,talcahuano,-36.7167,-73.1167,13.82,54,75,4.63,CL,1714935213
114,anadyr,64.75,177.4833,-10.72,79,0,5.0,RU,1714935214
115,cabo san lucas,22.8909,-109.9124,29.09,56,57,4.91,MX,1714934939
116,arno,60.1167,18.6333,5.44,81,100,3.61,SE,1714935215
117,kibworth harcourt,52.5444,-0.9949,14.74,71,100,2.42,GB,1714935216
118,penonome,8.5167,-80.3667,29.82,47,99,4.16,PA,1714935217
119,cabeza del buey,38.7223,-5.2195,18.23,63,99,4.12,ES,1714935217
120,san pedro pochutla,15.7333,-96.4667,31.84,37,5,4.4,MX,1714935218
121,lihue,21.9789,-159.3672,24.36,71,75,7.2,US,1714935219
122,vilhena,-12.7406,-60.1458,31.12,62,75,4.12,BR,1714935220
123,punta arenas,-53.15,-70.9167,5.06,52,40,5.14,CL,1714935221
124,narvik,68.4384,17.4272,2.29,67,15,2.04,NO,1714935222
125,vernon,50.2581,-119.2691,17.46,39,100,1.03,CA,1714935088
126,severobaykal'sk,55.65,109.3167,3.06,62,44,1.16,RU,1714934970
127,byron bay,-28.65,153.6167,16.51,93,77,4.38,AU,1714935223
128,chinde,26.8418,88.0763,15.74,59,2,2.13,NP,1714935225
129,lokhvytsya,50.3678,33.2602,12.0,92,33,3.81,UA,1714935226
130,remire-montjoly,4.9167,-52.2667,29.02,89,20,5.66,GF,1714935226
131,kawardha,22.0167,81.25,33.78,15,99,2.58,IN,1714935227
132,fortuna,40.5982,-124.1573,12.76,68,40,0.89,US,1714935227
133,xam nua,20.4197,104.0439,18.09,99,48,1.18,LA,1714935228
134,salina,38.8403,-97.6114,16.42,69,20,4.12,US,1714934989
135,egilsstadir,65.2653,-14.3948,8.95,81,75,4.63,IS,1714935229
136,picos,-7.0769,-41.4669,32.31,45,100,4.43,BR,1714935077
137,aykhal,66.0,111.5,-11.09,98,12,1.9,RU,1714935230
138,gizo,-8.103,156.8419,28.05,79,51,1.2,SB,1714935231
139,berezovyy,51.6667,135.7,1.7,81,79,1.75,RU,1714935231
140,amta,22.58,88.0083,30.96,83,96,5.38,IN,1714935232
141,kamaishi,39.2667,141.8833,16.0,61,100,2.91,JP,1714935232
142,howard springs,-12.497,131.047,24.07,80,31,2.56,AU,1714935233
143,kodiak,57.79,-152.4072,5.73,75,100,5.14,US,1714935234
144,san patricio,28.017,-97.5169,27.73,59,21,7.42,US,1714935234
145,margaret river,-33.95,115.0667,15.37,83,55,2.84,AU,1714935235
146,aldan,58.6031,125.3894,-0.74,84,33,2.88,RU,1714935236
147,conception bay south,47.4999,-52.9981,4.25,76,7,3.43,CA,1714935236
148,lodeynoye pole,60.726,33.5531,-1.4,85,16,1.69,RU,1714935237
149,nogliki,51.8333,143.1667,1.3,75,81,5.36,RU,1714935237
150,darab,28.7519,54.5444,22.38,39,0,0.73,IR,1714935238
151,morondava,-20.2833,44.2833,24.84,79,0,4.25,MG,1714935239
152,sisimiut,66.9395,-53.6735,-4.03,77,100,7.08,GL,1714935239
153,northam,51.0333,-4.2167,11.27,93,11,1.01,GB,1714935240
154,belmonte,-15.8631,-38.8828,28.08,71,6,4.34,BR,1714935240
155,follonica,42.9263,10.7616,16.04,82,13,1.42,IT,1714935241
156,kodinsk,58.6881,99.1844,10.8,88,100,2.26,RU,1714935242
157,nova vicosa,-17.8919,-39.3719,27.88,70,0,3.62,BR,1714935139
158,cozumel,20.5083,-86.9458,31.08,76,10,3.13,MX,1714934951
159,boende,-0.2167,20.8667,24.32,76,8,0.86,CD,1714935243
160,eyl,7.9803,49.8164,28.76,81,31,2.67,SO,1714935244
161,avarua,-21.2078,-159.775,27.03,89,75,6.69,CK,1714935245
162,eraan,9.0629,117.7016,25.92,83,100,1.48,PH,1714935245
163,port macquarie,-31.4333,152.9167,11.61,92,38,4.77,AU,1714935246
164,jamestown,42.097,-79.2353,15.27,95,100,3.6,US,1714935246
165,zouerate,22.7187,-12.4521,34.16,4,85,2.91,MR,1714935247
166,astrakhan,46.3497,48.0408,9.93,57,0,0.0,RU,1714935248
167,flin flon,54.7682,-101.865,12.91,44,40,2.06,CA,1714935021
168,hafnarfjordur,64.0671,-21.9377,5.89,75,75,8.23,IS,1714935249
169,magadan,59.5667,150.8,-0.26,95,27,1.9,RU,1714935250
170,yeppoon,-23.1333,150.7333,19.03,88,88,4.08,AU,1714935251
171,saldanha,-33.0117,17.9442,14.03,90,58,4.63,ZA,1714935251
172,puerto aysen,-45.4,-72.7,3.85,95,100,1.58,CL,1714935252
173,nagqu,31.5,92.0,0.58,76,100,1.07,CN,1714935252
174,imeni morozova,59.9757,31.0376,2.73,99,7,1.34,RU,1714935253
175,weno,7.4515,151.8468,27.97,89,100,2.57,FM,1714935253
176,mmabatho,-25.85,25.6333,15.98,44,0,3.09,ZA,1714935254
177,nova xavantina,-14.6667,-52.35,31.68,45,52,1.79,BR,1714935255
178,kongsberg,59.6652,9.6465,12.57,95,100,1.56,NO,1714935255
179,arraial do cabo,-22.9661,-42.0278,26.92,78,0,8.23,BR,1714935256
180,dudinka,69.4058,86.1778,-12.96,88,46,4.47,RU,1714935257
181,ambon,-3.6954,128.1814,27.27,15,40,2.57,ID,1714935257
182,lincoln city,44.9582,-124.0179,10.24,97,100,0.89,US,1714935258
183,ceelbuur,4.685,46.6176,26.57,77,99,6.73,SO,1714935258
184,dunedin,-45.8742,170.5036,6.0,98,100,0.89,NZ,1714935259
185,visby,57.6409,18.296,10.12,57,0,6.17,SE,1714935259
186,kuala belait,4.5833,114.1833,25.09,91,99,2.33,BN,1714935260
187,sabha,27.0377,14.4283,27.75,15,80,8.91,LY,1714935261
188,puerto leguizamo,-0.1934,-74.7819,24.58,96,100,0.91,CO,1714935262
189,cooper's town,26.8667,-77.5167,24.31,68,55,6.77,BS,1714935262
190,turar ryskulov,42.5333,70.3333,13.36,85,100,1.53,KZ,1714935263
191,moree,-29.4667,149.85,13.29,88,0,2.56,AU,1714935264
192,gonzales,30.2385,-90.9201,28.77,68,40,4.12,US,1714935265
193,ivolginsk,51.7492,107.2837,3.81,87,0,1.0,RU,1714935265
194,nuku'alofa,-21.1333,-175.2,24.19,94,75,2.57,TO,1714935266
195,kodar,16.9833,79.9667,30.71,72,89,6.62,IN,1714935267
196,chandler,33.3062,-111.8412,28.65,22,0,7.72,US,1714935267
197,keflavik,64.0049,-22.5624,5.24,75,40,9.77,IS,1714935268
198,nantucket,41.2835,-70.0995,7.79,93,100,5.14,US,1714935198
199,rawson,-43.3002,-65.1023,12.88,24,0,7.63,AR,1714935043
200,valle de la pascua,9.2155,-66.0073,34.79,40,100,4.6,VE,1714935270
201,itoman,26.1247,127.6694,24.91,94,20,5.66,JP,1714935270
202,andergrove,-21.0833,149.1833,19.71,89,42,4.59,AU,1714935271
203,constitucion,-35.3333,-72.4167,13.49,67,100,4.53,CL,1714935271
204,dubbo,-32.25,148.6167,8.07,100,0,4.12,AU,1714935272
205,carnarvon,-24.8667,113.6333,21.12,60,0,9.05,AU,1714935272
206,konarka,19.9,86.1167,29.53,89,6,9.11,IN,1714935273
207,tangalle,6.024,80.7911,28.09,90,52,3.5,LK,1714935274
208,la sarre,48.8002,-79.1996,13.32,64,86,7.67,CA,1714935274
209,susuman,62.7833,148.1667,-2.79,86,100,0.89,RU,1714935275
210,stepnogorsk,52.3544,71.8869,4.04,51,5,4.04,KZ,1714935275
211,mathba,22.2855,89.9629,28.89,79,100,4.98,BD,1714935276
212,cadale,2.7603,46.3222,27.32,82,100,6.56,SO,1714935276
213,banjarmasin,-3.3244,114.591,27.08,95,100,1.04,ID,1714935277
214,grande prairie,55.1667,-118.8027,14.1,33,40,3.09,CA,1714935255
215,crane,31.3974,-102.3501,25.06,60,100,4.48,US,1714935278
216,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,7.72,EC,1714935279
217,arhavi,41.3492,41.3069,10.95,85,100,4.79,TR,1714935280
218,coquimbo,-29.9533,-71.3436,16.85,72,20,7.2,CL,1714935069
219,hermanus,-34.4187,19.2345,13.78,70,58,5.96,ZA,1714935259
220,tazovsky,67.4667,78.7,-6.3,90,100,6.85,RU,1714935282
221,poxoreo,-15.8372,-54.3892,33.62,28,0,2.75,BR,1714935284
222,mata-utu,-13.2816,-176.1745,29.09,78,100,4.32,WF,1714935284
223,suomussalmi,64.8869,28.9078,-2.24,90,96,2.02,FI,1714935285
224,khorixas,-20.3667,14.9667,24.69,20,0,4.21,NA,1714935286
225,chegdomyn,51.1167,133.0167,-0.42,91,0,0.99,RU,1714935286
226,bedford,52.1346,-0.4663,14.36,86,100,2.19,GB,1714935180
227,xichang,27.8964,102.2634,15.63,66,100,0.22,CN,1714935288
228,sola,-13.8833,167.55,27.65,80,100,10.66,VU,1714935289
229,jinxiang,27.4327,120.6062,19.42,99,63,3.79,CN,1714935289
230,san sebastian de la gomera,28.0916,-17.1133,22.2,68,0,1.54,ES,1714935290
231,nar'yan-mar,67.6713,53.087,-7.16,88,78,1.79,RU,1714935290
232,kukawa,12.9234,13.5606,34.53,15,7,3.4,NG,1714935291
233,grand falls-windsor,48.9332,-55.6649,16.95,26,100,0.45,CA,1714935094
234,callao,-12.0667,-77.15,20.16,83,75,3.09,PE,1714935276
235,santo antonio do ica,-3.1022,-67.9397,29.34,84,100,1.69,BR,1714935293
236,filadelfia,39.9523,-75.1638,13.11,95,100,3.6,US,1714935130
237,lesnoy,57.6198,63.0784,-2.55,89,14,3.04,RU,1714935295
238,balangir,20.7167,83.4833,30.34,9,55,2.49,IN,1714935295
239,la passe,45.5549,-0.8967,14.45,94,100,5.25,FR,1714935683
240,nemuro,43.3236,145.575,5.99,100,100,2.96,JP,1714935385
241,baruun-urt,46.6806,113.2792,8.75,35,100,2.19,MN,1714935684
242,pionerskiy,54.9508,20.2275,12.91,97,100,4.77,RU,1714935685
243,borogontsy,62.6683,131.1683,0.64,97,38,2.43,RU,1714935685
244,vorgashor,67.5833,63.95,-17.66,100,100,2.1,RU,1714935686
245,ulladulla,-35.35,150.4667,14.8,80,100,4.93,AU,1714935686
246,onati,43.0178,-2.4068,13.04,96,83,1.09,ES,1714935687
247,palafrugell,41.9174,3.1631,16.91,53,100,0.89,ES,1714935688
248,muisne,0.6,-80.0333,27.41,81,100,3.6,EC,1714935688
249,qaqortoq,60.7167,-46.0333,1.18,57,0,1.66,GL,1714935689
250,selfoss,63.9331,-20.9971,6.69,61,19,7.62,IS,1714935441
251,taoudenni,22.6783,-3.9836,34.55,4,0,4.76,ML,1714935589
252,reggane,26.7158,0.1714,32.86,6,0,4.5,DZ,1714935691
253,bowen,-20.0167,148.2333,20.37,91,100,3.61,AU,1714935692
254,pakxan,18.3778,103.6601,24.78,85,67,2.2,LA,1714935692
255,ust-nera,64.5667,143.2,-1.51,87,100,1.12,RU,1714935693
256,kerikeri,-35.2268,173.9474,13.28,93,98,0.66,NZ,1714935694
257,mananjary,-21.2167,48.3333,22.56,70,100,1.48,MG,1714935695
258,marka,1.7159,44.7717,26.84,82,100,5.25,SO,1714935696
259,rexburg,43.826,-111.7897,6.68,58,100,5.96,US,1714935604
260,erenhot,43.6475,111.9767,12.87,26,100,4.02,CN,1714935698
261,hadibu,12.65,54.0333,29.8,78,32,1.61,YE,1714935698
262,mount pearl,47.5166,-52.7813,3.76,78,75,4.12,CA,1714935699
263,fale old settlement,-9.3852,-171.2468,29.17,77,27,3.65,TK,1714935700
264,nadvoitsy,63.8667,34.3167,-5.09,97,99,1.19,RU,1714935700
265,lukolela,-1.0605,17.1821,26.04,66,9,0.84,CD,1714935701
266,newman,37.3138,-121.0208,13.97,61,41,2.24,US,1714935701
267,kapa'a,22.0752,-159.319,24.5,78,75,7.2,US,1714935702
268,richards bay,-28.783,32.0377,20.87,93,0,1.87,ZA,1714935703
269,katsuura,35.1333,140.3,19.74,77,100,8.45,JP,1714935703
270,hithadhoo,-0.6,73.0833,29.3,74,100,3.21,MV,1714935704
271,jiamusi,46.8333,130.35,9.87,50,100,6.5,CN,1714935664
272,kuanda,56.3161,116.0806,7.1,69,12,1.42,RU,1714935705
273,namtsy,62.7161,129.6658,0.05,97,39,1.94,RU,1714935706
274,abong mbang,3.9833,13.1833,24.57,67,39,1.29,CM,1714935707
275,merizo village,13.2658,144.6691,25.79,90,94,5.1,GU,1714935707
276,kem',64.9555,34.5793,-5.3,92,62,2.51,RU,1714935708
277,gewane,10.1664,40.6453,29.22,55,75,2.52,ET,1714935709
278,tadine,-21.55,167.8833,20.7,75,12,5.11,NC,1714935710
279,karratha,-20.7377,116.8463,23.34,43,0,3.99,AU,1714935710
280,dedovichi,57.5517,29.9502,4.16,75,91,3.66,RU,1714935711
281,fatehabad,29.5167,75.45,31.31,22,0,3.17,IN,1714935667
282,rockland,41.1668,-74.0496,9.94,93,100,3.87,US,1714935546
283,port elizabeth,-33.918,25.5701,14.16,94,0,0.0,ZA,1714935713
284,hasaki,35.7333,140.8333,17.22,75,98,9.7,JP,1714935714
285,sao paulo de olivenca,-3.3783,-68.8725,30.43,72,100,1.2,BR,1714935715
286,as sulayyil,20.4607,45.5779,33.14,31,0,4.37,SA,1714935715
